pedal_id	builder	model	photo_count	primary_photo_source
DISC-0567		Fuzzrocious Terrordactyl	0	
DISC-0568		Fuzzrocious The Octavus	0	
DISC-0569		Fuzzrocious The Overdose	0	
DISC-0570		Fuzzrocious There Is No Dana... Only Zuul	0	
DISC-0571		Fuzzrocious Tremorlo	0	
DISC-0572		Fuzzrocious Tremorslo	0	
DISC-0573		Fuzzrocious TS El Oso	0	
DISC-0574		Fuzzrocious Walking Delay	0	
DISC-0575		Fuzzrocious + Electro-Faustus EF110G Maggotor Gated Fuzz	0	
DISC-0576		Electro-Faustus / Fuzzrocious Greyfly	0	
DISC-0577		Fuzzrocious / Tone Mob Typhon	0	
DISC-0578		BMF Effects Aries Fuzz	0	
DISC-0579		BMF Effects Decho Box	0	
DISC-0580		BMF Effects El Jefe	0	
DISC-0581		BMF Effects Fat Bastard	0	
DISC-0582		BMF Effects GB Boost - Germanium Booster	0	
DISC-0583		BMF Effects Ge Spot F2	0	
DISC-0584		BMF Effects Ge Spot MkI	0	
DISC-0585		BMF Effects Holy Balls	0	
DISC-0586		BMF Effects Liquid Sky	0	
DISC-0587		BMF Effects Liquid Sky Deluxe - Dual Chorus	0	
DISC-0588		BMF Effects Little Red Compressor	0	
DISC-0589		BMF Effects Purple Nurple	0	
DISC-0590		BMF Effects Rocket 88 - Fuzz	0	
DISC-0591		BMF Effects Sisyphuzz - Silicon Fuzz	0	
DISC-0592		BMF Effects Son of Bastard - Clean Boost	0	
DISC-0593		BMF Effects Squawk Box - Fixed Wah	0	
DISC-0594		BMF Effects The Great Wide Open	0	
DISC-0595		Devi Ever FX '90	0	
DISC-0596		Devi Ever FX 05/25 Punch Love	0	
DISC-0597		Devi Ever FX 33 Silver Crank	0	
DISC-0598		Devi Ever FX AE Aenima	0	
DISC-0599		Devi Ever FX Bass Fuzz	0	
DISC-0600		Devi Ever FX BDSM - Big Distortion Sound Machine	0	
DISC-0601		Devi Ever FX Beautiful Disaster	0	
DISC-0602		Devi Ever FX Bi-Fuzz	0	
DISC-0603		Devi Ever FX BIT Legend Of Fuzz	0	
DISC-0604		Devi Ever FX Bit Mangler	0	
DISC-0605		Devi Ever FX Black Spider	0	
DISC-0606		Devi Ever FX BS	0	
DISC-0607		Devi Ever FX Cherry Pop	0	
DISC-0608		Devi Ever FX DB Dark Boost	0	
DISC-0609		Devi Ever FX Devi Special	0	
DISC-0610		Devi Ever FX Devine Hammer	0	
DISC-0611		Devi Ever FX Devistortion	0	
DISC-0612		Devi Ever FX DF Disaster Fuzz	0	
DISC-0613		Devi Ever FX Disaster Fuzz	0	
DISC-0614		Devi Ever FX DN Destructo Noctavia	0	
DISC-0615		Devi Ever FX Dream Mangler	0	
DISC-0616		Devi Ever FX Drone Fuck Drone	0	
DISC-0617		Devi Ever FX EB Electric Brown	0	
DISC-0618		Devi Ever FX Eye of God	0	
DISC-0619		Devi Ever FX Fortune	0	
DISC-0620		Devi Ever FX Fuzz	0	
DISC-0621		Devi Ever FX God Zilla	0	
DISC-0622		Devi Ever FX GZ Goddess Zero	0	
DISC-0623		Devi Ever FX Heaven's Gate	0	
DISC-0624		Devi Ever FX Helios	0	
DISC-0625		Devi Ever FX Heroin Lifestyle	0	
DISC-0626		Devi Ever FX Hounds Tooth	0	
DISC-0627		Devi Ever FX Hyperion	0	
DISC-0628		Devi Ever FX Hyperion 2	0	
DISC-0629		Devi Ever FX Hypnomangler	0	
DISC-0630		Devi Ever FX KF Krackle Fuzz	0	
DISC-0631		Devi Ever FX KP Karaoke Party	0	
DISC-0632		Devi Ever FX Little Shit	0	
DISC-0633		Devi Ever FX Love Fuzz	0	
DISC-0634		Devi Ever FX LP Let's Play	0	
DISC-0635		Devi Ever FX Mega Bit	0	
DISC-0636		Devi Ever FX Mirro Safety Bag Fuzz	0	
DISC-0637		Devi Ever FX ND Never Drive	0	
DISC-0638		Devi Ever FX Noise Floor	0	
DISC-0639		Devi Ever FX OK	0	
DISC-0640		Devi Ever FX PEEP	0	
DISC-0641		Devi Ever FX PEEPlug	0	
DISC-0642		Devi Ever FX Punch Hate	0	
DISC-0643		Devi Ever FX Punch Love	0	
DISC-0644		Devi Ever FX Rocket	0	
DISC-0645		Devi Ever FX Ruby	0	
DISC-0646		Devi Ever FX Ruiner	0	
DISC-0647		Devi Ever FX Shoe Gazer	0	
DISC-0648		Devi Ever FX Silver Rose	0	
DISC-0649		Devi Ever FX SM Soda Meiser	0	
DISC-0650		Devi Ever FX Soda Might	0	
DISC-0651		Devi Ever FX Stimulus Fuzz	0	
DISC-0652		Devi Ever FX Stone Fuzz	0	
DISC-0653		Devi Ever FX Sucka Punch	0	
DISC-0654		Devi Ever FX Super Massive Black Hole	0	
DISC-0655		Devi Ever FX The Ion	0	
DISC-0656		Devi Ever FX The Wolf - Bass Fuzz	0	
DISC-0657		Devi Ever FX Torn's Peaker / Aenima	0	
DISC-0658		Devi Ever FX TP Torn's Peaker	0	
DISC-0659		Devi Ever FX Truly Beautiful Disaster	0	
DISC-0660		Devi Ever FX Truly Beautiful Legend Of Fuzz	0	
DISC-0661		Devi Ever FX US	0	
DISC-0663		Devi Ever FX Vintage Fuzz Master	0	
DISC-0664		Devi Ever FX War Horse	0	
DISC-0665		Devi Ever FX White Spider	0	
DISC-0666		Devi Ever FX Year of the Rat	0	
DISC-0667		Devi Ever FX ZG Zero Good	0	
DISC-0668		Devi Ever Soda Meiser 4K	0	
DISC-0313		Basic Audio Alter-Destiny - Hybrid Muff	0	
DISC-0314		Basic Audio Bye-Bias Fuzz	0	
DISC-0315		Basic Audio Electric Mud	0	
DISC-0316		Basic Audio Foxey Lady	0	
DISC-0317		Basic Audio Foxey Lady MkI	0	
DISC-0318		Basic Audio Futureman	0	
DISC-0319		Basic Audio Fuzz Mutant	0	
DISC-0320		Basic Audio Fuzzmondo	0	
DISC-0321		Basic Audio Fuzzstainer	0	
DISC-0322		Basic Audio Gnarly Fuzz	0	
DISC-0323		Basic Audio Lucky Number	0	
DISC-0324		Basic Audio Marq Won	0	
DISC-0325		Basic Audio Messenger Fuzz	0	
DISC-0326		Basic Audio Pale Rider	0	
DISC-0327		Basic Audio Peak Freq.	0	
DISC-0328		Basic Audio Pep Fuzz	0	
DISC-0329		Basic Audio Scarab	0	
DISC-0330		Basic Audio Scarab Deluxe	0	
DISC-0331		Basic Audio Solar Myth	0	
DISC-0332		Basic Audio Spooky Tooth	0	
DISC-0333		Basic Audio SquareWave+	0	
DISC-0334		Basic Audio Throbby - Tremolo	0	
DISC-0335		Basic Audio Tri/Ram Muff	0	
DISC-0336		Basic Audio Warp	0	
